Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),Rho (slugs/ft^3),Absolute Viscosity,Kinematic Viscosity,Temperature (R),P_{SL} (psf),P_{Ambient} (psf),Turbulence Magnitude (ft/sec),Turbulence X Direction (deg),Wind V_{North} (ft/s),Wind V_{East} (ft/s),Wind V_{Down} (ft/s),Roll Turbulence (deg/sec),Pitch Turbulence (deg/sec),Yaw Turbulence (deg/sec),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),/fdm/jsbsim/sensor/imu/accelX_true_fps2,/fdm/jsbsim/sensor/imu/accelY_true_fps2,/fdm/jsbsim/sensor/imu/accelZ_true_fps2,/fdm/jsbsim/sensor/imu/gyroX_true_rps,/fdm/jsbsim/sensor/imu/gyroY_true_rps,/fdm/jsbsim/sensor/imu/gyroZ_true_rps,/fdm/jsbsim/sensor/imu/gyroX_true_rps,/fdm/jsbsim/sensor/imu/gyroY_true_rps,/fdm/jsbsim/sensor/imu/gyroZ_true_rps,/fdm/jsbsim/sensor/gps/lat_true_rad,/fdm/jsbsim/sensor/gps/long_true_rad,/fdm/jsbsim/sensor/gps/alt_true_m,/fdm/jsbsim/sensor/gps/vNorth_true_mps,/fdm/jsbsim/sensor/gps/vEast_true_mps,/fdm/jsbsim/sensor/gps/vDown_true_mps,/fdm/jsbsim/sensor/pitot/presStatic_true_pa,/fdm/jsbsim/sensor/pitot/presTip_true_pa,/fdm/jsbsim/sensor/pitot/temp_true_C
0,0,0,0,0.001001726113626,24948.4120005483,0.00512935110501,3.91381377204718E-19,-0.002968449199998,-0.002940172240113,0,0,0,1084.14125128,0,0,0,-0.000238542258174,0.107835372233393,-2772.2359651221,-105.686644066646,-1966.78486756613,1950.78662223232,-0.000238542258175,1.52216022248517E-13,-2804.30104985236,0,0,0,1082.57939478411,-58.1730754815681,0,0,0,0,0,0,0,0.002376911753,3.737213588E-07,0.0001572297997,518.67,2116.228,2116.228,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0,0,-2.98147456113466E-16,2.08726855498417E-15,90,0.707106781186548,-1.47196168001604E-17,1.10400772284331E-17,0.707106781186547,-0.384754380473224,0.92262871571208,-0.024771144364242,0.010330056003211,-0.384754380473224,0.92262871571208,-0.024771144364242,0.010330056003211,0,0,44.725801,44.917901276915,-93.075866,-797753.127612059,-14845890.3182973,14725685.2045231,-797753.127612059,-14845890.3182973,14725685.2045231,0,0,0,65.7145545238477,6.25663634977007E-05,-3121.44635553998,6.83089366321221E-21,-5.18092122181524E-05,-5.13156861657033E-05,6.83089366321221E-21,-5.18092122181524E-05,-5.13156861657033E-05,0.78396527036794,-1.62448031584504,0,0,0,0,101325.54685928,0,15
0.02,0.073191340129706,3.49279340857874E-05,0.014761701795346,-1.49688194441936,0.017980464851169,-0.301653484913333,0.073772658342722,-0.002933521256987,0.011879570294228,3.408057958E-10,2.79350444,0.000535508445679,1084.14128491,-1.8796440903581E-06,0.000535504530438,-8.12534147705713E-07,7.70573792662391E-05,0.053816128920622,0.000128636036482,0.002315033245076,0.041200021601955,-0.038313932165593,6.33984758063399,-0.054019140167176,-31.4319694221766,-1.8796440903581E-06,0.000535504530438,-8.12534147705713E-07,1082.57947175707,-58.1722697428539,-0.000380167699519,-2.22371952945118E-05,-0.000376493456491,-0.00038016769952,-0.000535504530414,-2.00319576279855E-06,-4.24860696805073E-07,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772320449352,0.68772320449352,-1.77457870163387E-07,11.4034117198576,90.000000628463,0.703608445958617,-0.070250618500058,0.070250615550264,0.703608453893903,-0.380389851869529,0.91703782997597,-0.062873704480289,0.101941533599642,-0.380389907622171,0.917037864362018,-0.06287320294438,0.101941325561134,0,0,44.725800999967,44.917901270569,-93.075866,-797736.915138791,-14845891.6788045,14725685.6884755,-797753.153830724,-14845890.8062172,14725685.6884755,6.2671111983606E-05,0.68772320449352,0,6.33988802845386,-0.145315073080189,-31.4347397855734,0.001287575786029,-5.11996046116721E-05,0.000207337615356,0.001287575786029,-5.11996046116721E-05,0.000207337615356,0.783965270257172,-1.62448031584504,0.209618032729626,-0.00016322178087,-6.10574068500998E-07,-1.29497540386186E-07,101323.028692068,6.62036768188874E-08,14.9986374828305
0.04,0.081919896832096,0.000126009980751,0.01652286806325,-1.05155167222822,0.001055337175431,-0.212032314804479,0.082501199327776,-0.002842518428745,0.013640814984864,1.076267489E-09,4.964276822,0.000951640572544,1084.14128534,-2.16410601566417E-06,0.000951634078046,2.77082289830362E-06,2.76741064188351E-05,-0.002583764102915,-0.000139520772617,0.004333672792288,0.080658602266291,0.001934889516774,6.3397985755467,-0.111282992948551,-31.4322338242105,-2.16410601566417E-06,0.000951634078046,2.77082289830362E-06,1082.57954145025,-58.170980771533,-0.000678349968203,-3.73842228908976E-05,-0.000666380911963,-0.000678349968265,-0.000951633993024,-1.57356091612924E-06,3.16964074415844E-06,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772324547172,0.68772324547172,0.001574675983459,11.4034136296148,90.0003119973359,0.703607498356528,-0.07024115130563,0.070260106232611,0.703609399054703,-0.380402232684974,0.917032637325643,-0.06287480719432,0.101941366013993,-0.380402362771493,0.917032717566971,-0.062873636950035,0.101940880574268,0,0,44.725800999922,44.917901270524,-93.075866,-797715.26354872,-14845892.8422381,14725685.6884638,-797753.153831381,-14845890.8062288,14725685.6884638,0.000146232594628,0.68772324547172,0,6.33973565092707,-0.112073095673243,-31.4321064391337,0.001439917565114,-4.96113056302085E-05,0.000238077134141,0.001439917565114,-4.96113056302085E-05,0.000238077134141,0.783965270256388,-1.62448031584505,0.209618045219779,-0.000290058041074,-4.79621367236192E-07,9.66106498819491E-07,101323.028691917,5.93111935676312E-08,14.9986374827492
0.06,0.058093537669807,0.000102459136331,0.011716998626452,-1.59577694521296,-0.002488446805018,-0.321816106412892,0.058674824819736,-0.00286614677015,0.008835022276971,5.858938177E-10,3.662733645,0.000702137706605,1084.14128568,-1.43782020867009E-06,0.000702135629535,9.21655019308026E-07,3.7955437750909E-05,-0.017699346435834,-3.97493432171435E-05,0.004937606658992,0.091345598118022,0.012607935578866,6.33980975704478,-0.127243775277856,-31.4321316134516,-1.43782020867009E-06,0.000702135629535,9.21655019308026E-07,1082.57963597995,-58.1692279879152,-0.000499717306326,-2.76914316827436E-05,-0.00049245624923,-0.000499717306415,-0.00070213556528,-1.22721904769726E-06,1.2251643857327E-06,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772320076823,0.68772320076823,0.003115349000301,11.4034161019244,90.0006166068976,0.703606570830885,-0.070231893331489,0.070269394677298,0.703610323193627,-0.380414344386644,0.917027556669924,-0.062875887984083,0.101941206951372,-0.380414548806726,0.917027682767331,-0.062874049038757,0.10194044409289,0,0,44.725800999876,44.917901270478,-93.075866,-797693.611956956,-14845894.0056404,14725685.6884519,-797753.153832042,-14845890.8062405,14725685.6884519,0.000229794077273,0.68772320076823,0,6.33979755107246,-0.125877450492016,-31.4321156028128,0.001024068881135,-5.00236979845173E-05,0.00015420022822,0.001024068881135,-5.00236979845173E-05,0.00015420022822,0.783965270255587,-1.62448031584505,0.209618031594157,-0.000214010920297,-3.74056365738126E-07,3.73430104771328E-07,101323.028692081,3.59119024672724E-08,14.9986374828378
0.08,0.026936779527789,4.95133502931062E-05,0.005433474946333,-1.38773276054123,-0.002652139089933,-0.279967424549154,0.027518057104869,-0.002919140924303,0.002551546488762,1.30167568E-10,1.726423248,0.000330951408733,1084.14128632,-6.71473113907366E-07,0.000330950562769,3.30255737361591E-07,3.50389877217307E-05,-0.017215157947416,-1.41187023873037E-05,0.004922308085633,0.091022897106652,0.012246422972796,6.33980746704916,-0.127287113415415,-31.4321045929996,-6.71473113907366E-07,0.000330950562769,3.30255737361591E-07,1082.57973543417,-58.1673888596946,-0.000235472099625,-1.30705024912797E-05,-0.000232187181397,-0.000235472099675,-0.000330950530152,-5.92924811717345E-07,4.79581443671073E-07,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772318214178,0.68772318214178,0.004076949095497,11.4034177467165,90.0008067275849,0.703605991787395,-0.07022611567711,0.070275192637078,0.703610899862724,-0.380421903724321,0.917024385436934,-0.062876562900864,0.101941108510036,-0.380422182479178,0.91702455738683,-0.062874055256896,0.101940068227925,0,0,44.725800999848,44.91790127045,-93.075866,-797671.960363239,-14845895.1690065,14725685.6884446,-797753.153832447,-14845890.8062477,14725685.6884446,0.000313355559918,0.68772318214178,0,6.339802218592,-0.128117913976292,-31.4320808953426,0.000480280700232,-5.09486204588023E-05,4.45328872466003E-05,0.000480280700232,-5.09486204588023E-05,4.45328872466003E-05,0.783965270255096,-1.62448031584505,0.209618025916815,-0.00010087372159,-1.80723482611447E-07,1.46176424030943E-07,101323.028692149,1.00900628319047E-08,14.9986374828747
0.1,0.003350678747542,4.83229149358914E-06,0.000675940323341,-0.806422080576716,-0.001554234440687,-0.162651271492311,0.003931952759939,-0.002963839991433,-0.002205970302866,2.447974754E-12,0.2367551024,4.53854144792E-05,1084.14128685,-8.06432735147287E-08,4.53852500147272E-05,9.17889638467174E-08,2.06933881127253E-05,-0.010744873326746,-5.30687170283381E-06,0.004666002853034,0.086485193868129,0.007641162414762,6.3397933257437,-0.121013239108378,-31.4320952107381,-8.06432735147287E-08,4.53852500147272E-05,9.17889638467174E-08,1082.57983156457,-58.1656096245907,-3.23223889518765E-05,-1.77039651493221E-06,-3.18113928658858E-05,-3.23223889590107E-05,-4.53852418513997E-05,-6.09037145521481E-08,1.093651356888E-07,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772317841649,0.68772317841649,0.0044349746352,11.4034183532779,90.0008775179035,0.703605776160987,-0.070223964495782,0.070277351314601,0.703611114584259,-0.380424718229619,0.917023204702816,-0.062876814201675,0.101941071802929,-0.380425071319955,0.917023422502214,-0.062873637856899,0.101939754102768,0,0,44.725800999838,44.91790127044,-93.075866,-797650.30876756,-14845896.3323363,14725685.6884421,-797753.153832586,-14845890.8062502,14725685.6884421,0.000396917042563,0.68772317841649,0,6.33979579708683,-0.122733168638221,-31.43208737378,6.86255216938199E-05,-5.17287663527841E-05,-3.85014449862364E-05,6.86255216938199E-05,-5.17287663527841E-05,-3.85014449862364E-05,0.783965270254928,-1.62448031584505,0.209618024781346,-1.38334217163066E-05,-1.85634521954948E-08,3.33344933579463E-08,101323.028692163,6.13211357280188E-10,14.9986374828821
0.12,-0.008404434220201,-1.81596383541804E-05,-0.00169503051728,-0.257244466407968,-0.00063243571608,-0.051888192987963,-0.007823159805676,-0.00298682987923,-0.004576943165907,1.158814242E-11,0.5151133342,9.87460542188E-05,1084.14128713,2.07223343245616E-07,-9.87458177342879E-05,6.13372029751626E-08,9.03040776338655E-06,-0.003981955832198,-3.63617200015683E-06,0.004399617528487,0.081736659374357,0.002833080304675,6.33978160171241,-0.114228049633845,-31.4320936181457,2.07223343245616E-07,-9.87458177342879E-05,6.13372029751626E-08,1082.57992210704,-58.1639295682107,7.01489361710241E-05,3.94404720801927E-06,6.93855494282061E-05,7.01489361865455E-05,9.87458189037823E-05,2.15261097172448E-07,1.1731096295694E-08,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.6877231746912,0.6877231746912,0.004394376264782,11.403418245779,90.0008694933921,0.703605800619263,-0.070224208193217,0.070277106291427,0.703611090277184,-0.380424399097902,0.917023338627794,-0.062876785599167,0.101941075645963,-0.380424826523779,0.917023602275045,-0.062872940549785,0.101939480536772,0,0,44.725800999841,44.917901270442,-93.075866,-797628.657170014,-14845897.4956316,14725685.6884426,-797753.153832555,-14845890.8062497,14725685.6884426,0.000480478525208,0.6877231746912,0,6.33978149523272,-0.115745230933898,-31.4320750395016,-0.000136539896519,-5.21300155895125E-05,-7.98827279217226E-05,-0.000136539896519,-5.21300155895125E-05,-7.98827279217226E-05,0.783965270254964,-1.62448031584505,0.209618023645878,3.00977256018728E-05,6.56115824181621E-08,3.57563815092754E-09,101323.028692177,3.23249497555891E-10,14.9986374828895
0.14,-0.010642172916163,-2.35922790217835E-05,-0.002146418572984,0.080859754887927,0.000279144185715,0.016305504785043,-0.01006089647146,-0.00299225224092,-0.005028341400515,1.939002658E-11,0.6663234263,0.000127732684857,1084.14128719,2.73937477718226E-07,-0.000127732387933,2.8492921498981E-08,-7.03322157033291E-07,0.000474887706318,-4.33989085609223E-06,0.004221628770808,0.078606474871169,-0.000334539720712,6.33977170076373,-0.109659096787797,-31.4320947390155,2.73937477718226E-07,-0.000127732387933,2.8492921498981E-08,1082.58000808473,-58.1623303763754,9.07765474733959E-05,5.09560446150761E-06,8.97178467455876E-05,9.07765474936456E-05,0.000127732385736,2.74164757472804E-07,-3.53879422013685E-08,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772317841649,0.68772317841649,0.004190018514055,11.4034178138002,90.000829090724,0.703605923727361,-0.070225435543676,0.070275873608648,0.703610967793355,-0.380422792648872,0.917024012658282,-0.062876641905337,0.101941095898417,-0.380423294410138,0.917024322152377,-0.062872128148456,0.101939223386934,0,0,44.725800999847,44.917901270449,-93.075866,-797607.005570706,-14845898.6588941,14725685.6884443,-797753.153832459,-14845890.806248,14725685.6884443,0.000564040007852,0.68772317841649,0,6.33977390903762,-0.110539021345032,-31.4320983413047,-0.000175595769129,-5.22246536542278E-05,-8.77611133533364E-05,-0.000175595769129,-5.22246536542278E-05,-8.77611133533364E-05,0.783965270255079,-1.62448031584505,0.209618024781346,3.89328311722469E-05,8.35654180777106E-08,-1.07862447829771E-08,101323.028692163,9.38754285419986E-10,14.9986374828821
0.16,-0.007820261377562,-1.58450776964997E-05,-0.001576918619878,0.203114972556762,0.000311783260567,0.040937341782146,-0.007238982904099,-0.002984494769433,-0.004458851617444,1.068213816E-11,0.4945668188,9.48073339579E-05,1084.14128711,2.05002710708913E-07,-9.48071122525314E-05,-3.52614071172749E-09,-6.61940210278657E-06,0.002299026652246,3.70363969270837E-06,0.004148798852373,0.077331385191631,-0.001637008684493,6.33976563417537,-0.107722945071059,-31.4320871293819,2.05002710708913E-07,-9.48071122525314E-05,-3.52614071172749E-09,1082.58009159137,-58.1607746600839,6.73943116736001E-05,3.77797083112633E-06,6.65745015950437E-05,6.73943116887553E-05,9.48071090407023E-05,2.00259762443595E-07,-5.04539626034949E-08,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772318214178,0.68772318214178,0.003985836774963,11.4034173936985,90.0007887277293,0.703606046690217,-0.070226661911317,0.070274642055872,0.703610845435653,-0.380421187572446,0.917024686095652,-0.062876498412822,0.101941116209934,-0.380421763668929,0.917025041435894,-0.062871315947429,0.10193896629844,0,0,44.725800999853,44.917901270455,-93.075866,-797585.353969708,-14845899.8221251,14725685.688446,-797753.153832368,-14845890.8062464,14725685.688446,0.000647601490497,0.68772318214178,0,6.33977007377161,-0.10800523517821,-31.4320934711669,-0.000126344086172,-5.2089260235159E-05,-7.78216415822723E-05,-0.000126344086172,-5.2089260235159E-05,-7.78216415822723E-05,0.783965270255188,-1.62448031584505,0.209618025916815,2.88972068356061E-05,6.10391755928078E-08,-1.53783678015452E-08,101323.028692149,6.39585592257925E-10,14.9986374828747
0.18,-0.003743864593988,-7.97717255493563E-06,-0.000755717953552,0.184300605913307,0.000258827854865,0.037264759355451,-0.003162584821546,-0.002976620289321,-0.003637657461915,2.515266833E-12,0.239987108,4.60049825953E-05,1084.14128702,9.68627647188505E-08,-4.60048307875178E-05,6.77156682699645E-08,-4.95830897874453E-06,0.002288137203504,-3.86395718250001E-06,0.004148938140021,0.077333528242507,-0.001623809603478,6.33976720487521,-0.107662123994648,-31.4320949765005,9.68627647188505E-08,-4.60048307875178E-05,6.77156682699645E-08,1082.58017448264,-58.1592300216604,3.26545369499001E-05,1.84701407393754E-06,3.23531788112033E-05,3.26545369572731E-05,4.60048338063305E-05,1.08339632985693E-07,4.41933113730091E-08,0.00237686392,3.737199857E-07,0.0001572323861,518.6675475,2116.228,2116.175407,0,0,0,0,0,0,0,0,0.05273832175,0,-0.01032494063,0,0.06369013378,0,-0.01032494063,0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,0.68772318214178,0.68772318214178,0.003855119746667,11.4034171294442,90.0007628887154,0.70360612539858,-0.070227447061155,0.070273853644857,0.703610767106522,-0.380420159999253,0.917025117224267,-0.062876406575532,0.10194112924683,-0.380420810430758,0.917025518410228,-0.06287055540216,0.101938701933934,0,0,44.725800999857,44.917901270459,-93.075866,-797563.702367047,-14845900.9853251,14725685.688447,-797753.153832313,-14845890.8062454,14725685.688447,0.000731162973142,0.68772318214178,0,6.33976842839706,-0.107578090337768,-31.4320861030861,-5.5197518009577E-05,-5.19518246303204E-05,-6.34890997701649E-05,-5.5197518009577E-05,-5.19518246303204E-05,-6.34890997701649E-05,0.783965270255255,-1.62448031584505,0.209618025916815,1.40222733441695E-05,3.30219201340392E-08,1.34701213064932E-08,101323.028692149,1.90598548865252E-10,14.9986374828747
